name,source,source_book,best_candidate,similarity
Glyph of Turning,ghostwalk,Ghostwalk,glyph of warding,0.812
Hail of Ectoplasm,ghostwalk,Ghostwalk,hail of stone,0.667
Harmony,ghostwalk,Ghostwalk,harmonize,0.75
Hold Person Or Ghost,ghostwalk,Ghostwalk,hold person,0.71
Hunter's Mercy,ghostwalk,Ghostwalk,sniper's eye,0.615
I Smell Your Fear,ghostwalk,Ghostwalk,symbol of fear,0.645
Incorporeal Disharmonics,ghostwalk,Ghostwalk,incorporeal enhancement,0.681
Iron Bones,ghostwalk,Ghostwalk,iron body,0.737
Irresistible Force,ghostwalk,Ghostwalk,irresistible dance,0.833
Leech Ghost Skill,ghostwalk,Ghostwalk,detect evil,0.5
Nightmare Lullaby,ghostwalk,Ghostwalk,nightmare,0.692
Painless Death,ghostwalk,Ghostwalk,vile death,0.75
Persuade to Manifest,ghostwalk,Ghostwalk,end to strife,0.545
Pleasant Visage,ghostwalk,Ghostwalk,permanent image,0.667
Preserve Ectoplasm,ghostwalk,Ghostwalk,belker claws,0.533
Proper State,ghostwalk,Ghostwalk,greater status,0.615
Protection from Possession,ghostwalk,Ghostwalk,protection from evil,0.783
Raise Ghost,ghostwalk,Ghostwalk,arcane sight,0.609
Repel Ectoplasm,ghostwalk,Ghostwalk,repelling blast,0.6
Sherem Transformation,ghostwalk,Ghostwalk,transformation,0.8
Shroud of Undeath,ghostwalk,Ghostwalk,symbol of death,0.688
Song of the Calling,ghostwalk,Ghostwalk,sign of sealing,0.706
Spittle Spray,ghostwalk,Ghostwalk,color spray,0.583
Stone Bones,ghostwalk,Ghostwalk,stone to flesh,0.72
Surelife,ghostwalk,Ghostwalk,false life,0.667
Undead Torch,ghostwalk,Ghostwalk,undeath to death,0.643
Unmovable Object,ghostwalk,Ghostwalk,animate objects,0.71
Wall of Ectoplasm,ghostwalk,Ghostwalk,wall of gears,0.733
War Cry,ghostwalk,Ghostwalk,warcry,0.923
Acid Rain,heroes-of-battle,Heroes of Battle,acid arrow,0.632
Aerial Alarm,heroes-of-battle,Heroes of Battle,evil glare,0.636
Animate Legion,heroes-of-battle,Heroes of Battle,reanimation,0.72
Animate Siege Weapon,heroes-of-battle,Heroes of Battle,vanishing weapon,0.722
Battlefield Fortification,heroes-of-battle,Heroes of Battle,anticipate teleportation,0.531
Battlefield Illumination,heroes-of-battle,Heroes of Battle,true domination,0.564
Battlemagic Perception,heroes-of-battle,Heroes of Battle,astral projection,0.564
Blaze of Light,heroes-of-battle,Heroes of Battle,tomb of light,0.741
Boiling Oil,heroes-of-battle,Heroes of Battle,beguiling influence,0.6
Consecrate Battlefield,heroes-of-battle,Heroes of Battle,consecrate,0.625
Crisis of Confidence,heroes-of-battle,Heroes of Battle,sword of conscience,0.667
Desecrate Battlefield,heroes-of-battle,Heroes of Battle,desecrate,0.6
Drums of War,heroes-of-battle,Heroes of Battle,storm of shards,0.593
Early Twilight,heroes-of-battle,Heroes of Battle,searing light,0.667
Hurtling Stone,heroes-of-battle,Heroes of Battle,heart of stone,0.643
Leomund's Billet,heroes-of-battle,Heroes of Battle,leomund's trap,0.733
Molten Strike,heroes-of-battle,Heroes of Battle,golem strike,0.8
Resounding Voice,heroes-of-battle,Heroes of Battle,resonating bolt,0.645
Shrieking Blast,heroes-of-battle,Heroes of Battle,sickening blast,0.8
Spiritual Cavalry,heroes-of-battle,Heroes of Battle,spiritual chariot,0.765
Spiritual Charger,heroes-of-battle,Heroes of Battle,spiritual chariot,0.824
"Status, Greater",heroes-of-battle,Heroes of Battle,"shout, greater",0.759
Trip Vine,heroes-of-battle,Heroes of Battle,poison vines,0.571
Dream Sight,heroes-of-horror,Heroes of Horror,devil sight,0.727
Familial Geas,heroes-of-horror,Heroes of Horror,familiar geas,0.923
Rigor Mortis,heroes-of-horror,Heroes of Horror,dolorous motes,0.538
Avasculate,libris-mortis-the-book-of-the-dead,Libris Mortis: The Book of the Dead,avascular,0.842
Protection from Positive Energy,libris-mortis-the-book-of-the-dead,Libris Mortis: The Book of the Dead,protection from negative energy,0.871
Battletide,lords-of-darkness,Lords of Darkness,earth glide,0.571
Combust,lords-of-darkness,Lords of Darkness,cloudburst,0.706
Darkfire,lords-of-darkness,Lords of Darkness,blackfire,0.706
Devastate Undead,lords-of-darkness,Lords of Darkness,create undead,0.759
Dread Blast,lords-of-darkness,Lords of Darkness,ice blast,0.7
"Shadow Tentacle, Greater",lords-of-darkness,Lords of Darkness,"shadow evocation, greater",0.735
Handfang,lords-of-darkness,Lords of Darkness,magic fang,0.556
"Shadow Tentacle, Lesser",lords-of-darkness,Lords of Darkness,"visage of the deity, lesser",0.6
Mortal Wound,lords-of-darkness,Lords of Darkness,infernal wound,0.692
Mystic Lash,lords-of-darkness,Lords of Darkness,ice blast,0.6
Night's Mantle,lords-of-darkness,Lords of Darkness,night's caress,0.714
Phantom Plow,lords-of-darkness,Lords of Darkness,phantom trap,0.75
Shadow Canopy,lords-of-darkness,Lords of Darkness,shadow evocation,0.69
Skull Eyes,lords-of-darkness,Lords of Darkness,sleep,0.533
Skull of Secrets,lords-of-darkness,Lords of Darkness,symbol of sleep,0.581
Stasis Clone,lords-of-darkness,Lords of Darkness,lastai's caress,0.593
Stone Walk,lords-of-darkness,Lords of Darkness,stone tell,0.7
Triple Mask,lords-of-darkness,Lords of Darkness,arcane mark,0.545
Elder Glyph of Warding,lords-of-madness,Lords of Madness,glyph of warding,0.842
Aura of the Sun,lost-empires-of-faerun,Lost Empires of Faerun,aura of evasion,0.733
Backblast,lost-empires-of-faerun,Lost Empires of Faerun,backbiter,0.667
Bloodbriars,lost-empires-of-faerun,Lost Empires of Faerun,bloodstar,0.7
Clearstone,lost-empires-of-faerun,Lost Empires of Faerun,clone,0.667
Crushing Sphere,lost-empires-of-faerun,Lost Empires of Faerun,crushing despair,0.774
Ebon Ray of Doom,lost-empires-of-faerun,Lost Empires of Faerun,hound of doom,0.69
Ghost Pipes,lost-empires-of-faerun,Lost Empires of Faerun,ghost trap,0.667
Know Bloodline,lost-empires-of-faerun,Lost Empires of Faerun,discern bloodline,0.71
Mailed Might of the Magelords,lost-empires-of-faerun,Lost Empires of Faerun,flight of the dragon,0.653
Nar Fiendbond,lost-empires-of-faerun,Lost Empires of Faerun,mind bond,0.636
Nezram's Amethyst Aura,lost-empires-of-faerun,Lost Empires of Faerun,master's lament,0.486
Nezram's Emerald Energy Shield,lost-empires-of-faerun,Lost Empires of Faerun,radiant shield,0.5
Nezram's Sapphire Screen of Shielding,lost-empires-of-faerun,Lost Empires of Faerun,sign of sealing,0.5
Ray of Resurgence,lost-empires-of-faerun,Lost Empires of Faerun,resurgence,0.741
Sakkratar's Triple Strike,lost-empires-of-faerun,Lost Empires of Faerun,true strike,0.556
Shalantha's Delicate Disk,lost-empires-of-faerun,Lost Empires of Faerun,lastai's caress,0.55
Srinshee's Spell Shift,lost-empires-of-faerun,Lost Empires of Faerun,disguise self,0.514
Storm Shield,lost-empires-of-faerun,Lost Empires of Faerun,fire shield,0.696
Sun Scepter,lost-empires-of-faerun,Lost Empires of Faerun,secure shelter,0.64
Theskyn's Hearty Heave,lost-empires-of-faerun,Lost Empires of Faerun,heart's ease,0.529
Toothed Tentacle,lost-empires-of-faerun,Lost Empires of Faerun,chilling tentacles,0.588
Tyche's Touch,lost-empires-of-faerun,Lost Empires of Faerun,master's touch,0.741
Ancient Knowledge,magic-of-eberron,Magic of Eberron,keen edge,0.538
Clothier's Closet,magic-of-eberron,Magic of Eberron,master's lament,0.562
Control Elemental,magic-of-eberron,Magic of Eberron,control plants,0.71
Detect Dragonmark,magic-of-eberron,Magic of Eberron,death dragon,0.69
Dimension Leap,magic-of-eberron,Magic of Eberron,dimensional lock,0.733
Distracting Shadows,magic-of-eberron,Magic of Eberron,enervating shadow,0.722
Glimpse of Eternity,magic-of-eberron,Magic of Eberron,arms of plenty,0.606
Glimpse of the Prophecy,magic-of-eberron,Magic of Eberron,kiss of the vampire,0.619
Hidden Ward,magic-of-eberron,Magic of Eberron,death ward,0.667
Khyber Trap,magic-of-eberron,Magic of Eberron,fire trap,0.6
Leap Into Animal,magic-of-eberron,Magic of Eberron,train animal,0.714
Leech Undeath,magic-of-eberron,Magic of Eberron,vile death,0.696
"Magic Weapon, Greater Legion's",magic-of-eberron,Magic of Eberron,"magic weapon, greater",0.824
"Magic Weapon, Legion's",magic-of-eberron,Magic of Eberron,magic weapon,0.706
Mindburn,magic-of-eberron,Magic of Eberron,mind bond,0.706
Orb of Dancing Death,magic-of-eberron,Magic of Eberron,orb of acid,0.71
Overwhelming Revelations,magic-of-eberron,Magic of Eberron,minor creation,0.579
Scalding Touch,magic-of-eberron,Magic of Eberron,healing touch,0.815
Scry Trap,magic-of-eberron,Magic of Eberron,fire trap,0.667
Semblance of Life,magic-of-eberron,Magic of Eberron,spark of life,0.667
Sense Weakness,magic-of-eberron,Magic of Eberron,symbol of weakness,0.625
Shared Healing,magic-of-eberron,Magic of Eberron,sacred haven,0.692
Speaking Stones,magic-of-eberron,Magic of Eberron,spike stones,0.741
Spell Snare,magic-of-eberron,Magic of Eberron,spellstaff,0.667
"Spell Snare, Greater",magic-of-eberron,Magic of Eberron,"spell immunity, greater",0.744
Storm Touch,magic-of-eberron,Magic of Eberron,storm tower,0.727
Suffer the Flesh,magic-of-eberron,Magic of Eberron,stone to flesh,0.667
Suppress Dragonmark,magic-of-eberron,Magic of Eberron,suppress breath weapon,0.634
Undying Aura,magic-of-eberron,Magic of Eberron,unholy aura,0.696
Watchful Ancestors,magic-of-eberron,Magic of Eberron,healthful rest,0.625
Wind's Favor,magic-of-eberron,Magic of Eberron,nature's favor,0.692
Acid Storm,magic-of-faerun,Magic of Faerun,blade storm,0.762
Alamanther's Return,magic-of-faerun,Magic of Faerun,master's touch,0.606
Amanuensis,magic-of-faerun,Magic of Faerun,magnetism,0.632
Amplify,magic-of-faerun,Magic of Faerun,valiant fury,0.526
Antimagic Aura,magic-of-faerun,Magic of Faerun,antimagic ray,0.889
Aura Against Flame,magic-of-faerun,Magic of Faerun,magic circle against law,0.619
Aura of Glory,magic-of-faerun,Magic of Faerun,aura of terror,0.741
Aura of Vitality,magic-of-faerun,Magic of Faerun,aura of evasion,0.645
Azuth's Exalted Triad,magic-of-faerun,Magic of Faerun,path of the exalted,0.55
Azuth's Spell Shield,magic-of-faerun,Magic of Faerun,imbue with spell ability,0.545
Backlash,magic-of-faerun,Magic of Faerun,acid splash,0.632
Balagarn's Iron Horn,magic-of-faerun,Magic of Faerun,blast of force,0.529
Ball Lightning,magic-of-faerun,Magic of Faerun,call lightning,0.929
Battering Ram,magic-of-faerun,Magic of Faerun,withering palm,0.667
Battletide,magic-of-faerun,Magic of Faerun,earth glide,0.571
Black Blade of Disaster,magic-of-faerun,Magic of Faerun,blades of fire,0.595
Blackstaff,magic-of-faerun,Magic of Faerun,blackfire,0.632
Blade Thirst,magic-of-faerun,Magic of Faerun,blade storm,0.696
Blinding Spittle,magic-of-faerun,Magic of Faerun,blinding glory,0.667
Blindsight,magic-of-faerun,Magic of Faerun,hindsight,0.842
Blood Frenzy,magic-of-faerun,Magic of Faerun,abyssal frenzy,0.692
Body Blades,magic-of-faerun,Magic of Faerun,ring of blades,0.64
Bombardment,magic-of-faerun,Magic of Faerun,banishment,0.571
Cast In Stone,magic-of-faerun,Magic of Faerun,heart of stone,0.667
Celebration,magic-of-faerun,Magic of Faerun,elation,0.778
Circle Dance,magic-of-faerun,Magic of Faerun,circle of death,0.667
Claws of the Beast,magic-of-faerun,Magic of Faerun,cloak of the sea,0.765
Cloud of Bewilderment,magic-of-faerun,Magic of Faerun,bolts of bedevilment,0.634
Cocoon,magic-of-faerun,Magic of Faerun,clone,0.545
Combust,magic-of-faerun,Magic of Faerun,cloudburst,0.706
Corrosive Grasp,magic-of-faerun,Magic of Faerun,rusting grasp,0.643
Crawling Darkness,magic-of-faerun,Magic of Faerun,creeping darkness,0.824
Create Crossroads and Backroad,magic-of-faerun,Magic of Faerun,create food and water,0.667
Dark Way,magic-of-faerun,Magic of Faerun,air walk,0.625
Darkfire,magic-of-faerun,Magic of Faerun,blackfire,0.706
Darsson's Potion,magic-of-faerun,Magic of Faerun,dark discorporation,0.629
Deafening Clang,magic-of-faerun,Magic of Faerun,deafening breath,0.71
Death Armor,magic-of-faerun,Magic of Faerun,death ward,0.762
Decoy Image,magic-of-faerun,Magic of Faerun,project image,0.667
Detect Crossroads,magic-of-faerun,Magic of Faerun,detect good,0.714
Dhulark's Glasstrike,magic-of-faerun,Magic of Faerun,bodak's glare,0.667
Dirge,magic-of-faerun,Magic of Faerun,rage,0.667
Disguise Undead,magic-of-faerun,Magic of Faerun,disrupt undead,0.759
Disquietude,magic-of-faerun,Magic of Faerun,disrupt undead,0.64
Drown,magic-of-faerun,Magic of Faerun,acid arrow,0.533
Earthfast,magic-of-faerun,Magic of Faerun,earthbolt,0.667
Echo Skull,magic-of-faerun,Magic of Faerun,death knell,0.571
Electric Jolt,magic-of-faerun,Magic of Faerun,necrotic bloat,0.593
Elminster's Effulgent Epuration,magic-of-faerun,Magic of Faerun,master's lament,0.522
Energy Transformation Field,magic-of-faerun,Magic of Faerun,transformation,0.683
Explosive Cascade,magic-of-faerun,Magic of Faerun,explosive runes,0.688
Faith Healing,magic-of-faerun,Magic of Faerun,insigna healing,0.643
Favor of Ilmater,magic-of-faerun,Magic of Faerun,aura of terror,0.6
Fire Spiders,magic-of-faerun,Magic of Faerun,fire seeds,0.727
Firebrand,magic-of-faerun,Magic of Faerun,fireball,0.706
Flame Dagger,magic-of-faerun,Magic of Faerun,flame arrow,0.696
Force Ladder,magic-of-faerun,Magic of Faerun,smoke ladder,0.75
Forceward,magic-of-faerun,Magic of Faerun,forcecage,0.667
Forcewave,magic-of-faerun,Magic of Faerun,forcecage,0.778
Fortunate Fate,magic-of-faerun,Magic of Faerun,create water,0.615
Gedlee's Electric Loop,magic-of-faerun,Magic of Faerun,mage's lucubration,0.5
G'elsewhere Chant,magic-of-faerun,Magic of Faerun,ethereal jaunt,0.581
Gemjump,magic-of-faerun,Magic of Faerun,jump,0.727
General of Undeath,magic-of-faerun,Magic of Faerun,veil of undeath,0.788
Ghorus Toth's Metal Melt,magic-of-faerun,Magic of Faerun,ghost touch weapon,0.524
Ghostharp,magic-of-faerun,Magic of Faerun,ghost trap,0.737
Great Thunderclap,magic-of-faerun,Magic of Faerun,create undead,0.667
"Ironguard, Greater",magic-of-faerun,Magic of Faerun,"fireburst, greater",0.722
"Mage Hand, Greater",magic-of-faerun,Magic of Faerun,"mage armor, greater",0.811
Gutsnake,magic-of-faerun,Magic of Faerun,snare,0.615
Hand of Divinity,magic-of-faerun,Magic of Faerun,weapon of the deity,0.571
Hand of Torm,magic-of-faerun,Magic of Faerun,hound of doom,0.72
Handfire,magic-of-faerun,Magic of Faerun,animate fire,0.6
Hardening,magic-of-faerun,Magic of Faerun,mending,0.625
Harmony,magic-of-faerun,Magic of Faerun,harmonize,0.75
Haunting Tune,magic-of-faerun,Magic of Faerun,healing touch,0.615
Healing Sting,magic-of-faerun,Magic of Faerun,healing touch,0.692
Holy Star,magic-of-faerun,Magic of Faerun,holy storm,0.842
Horizikaul's Boom,magic-of-faerun,Magic of Faerun,faerinaal's hymn,0.485
Horizikaul's Cough,magic-of-faerun,Magic of Faerun,ghoul touch,0.552
Horizikaul's Versatile Vibration,magic-of-faerun,Magic of Faerun,sympathetic vibration,0.528
Hunter's Mercy,magic-of-faerun,Magic of Faerun,sniper's eye,0.615
Ice Dagger,magic-of-faerun,Magic of Faerun,curse water,0.571
Igedrazaar's Miasma,magic-of-faerun,Magic of Faerun,heart's ease,0.516
Inferno,magic-of-faerun,Magic of Faerun,infernal wound,0.667
Iron Bones,magic-of-faerun,Magic of Faerun,iron body,0.737
Ironguts,magic-of-faerun,Magic of Faerun,tongues,0.667
Jaws of the Wolf,magic-of-faerun,Magic of Faerun,eyes of the avoral,0.647
Kaupaer's Skittish Nerves,magic-of-faerun,Magic of Faerun,apparition,0.457
Khelben's Suspended Silence,magic-of-faerun,Magic of Faerun,"eagle's splendor, mass",0.531
Know Greatest Enemy,magic-of-faerun,Magic of Faerun,resist energy,0.562
Know Protections,magic-of-faerun,Magic of Faerun,know direction,0.8
Know Vulnerabilities,magic-of-faerun,Magic of Faerun,vulnerability,0.727
Laeral's Cutting Hand,magic-of-faerun,Magic of Faerun,grasping hand,0.647
Land Womb,magic-of-faerun,Magic of Faerun,blade storm,0.6
Launch Bolt,magic-of-faerun,Magic of Faerun,earthbolt,0.6
Launch Item,magic-of-faerun,Magic of Faerun,clenched fist,0.583
Life Bolt,magic-of-faerun,Magic of Faerun,ice blast,0.667
Living Prints,magic-of-faerun,Magic of Faerun,binding winds,0.615
Loyal Vassal,magic-of-faerun,Magic of Faerun,"fly, mass",0.571
Lutzaen's Frequent Jaunt,magic-of-faerun,Magic of Faerun,ethereal jaunt,0.526
Mace of Odo,magic-of-faerun,Magic of Faerun,mantle of good,0.72
"Teleport, Mass",magic-of-faerun,Magic of Faerun,teleport,0.727
Master Air,magic-of-faerun,Magic of Faerun,master's lament,0.64
Master Earth,magic-of-faerun,Magic of Faerun,move earth,0.727
Maw of Chaos,magic-of-faerun,Magic of Faerun,mantle of chaos,0.815
Memory Rot,magic-of-faerun,Magic of Faerun,wood rot,0.556
Mestil's Acid Breath,magic-of-faerun,Magic of Faerun,steam breath,0.625
Mestil's Acid Sheath,magic-of-faerun,Magic of Faerun,vile death,0.533
Minor Disguise,magic-of-faerun,Magic of Faerun,minor image,0.72
Monstrous Regeneration,magic-of-faerun,Magic of Faerun,monstrous thrall,0.632
Mystic Lash,magic-of-faerun,Magic of Faerun,ice blast,0.6
Nature's Balance,magic-of-faerun,Magic of Faerun,nature's avatar,0.71
Net of Shadows,magic-of-faerun,Magic of Faerun,path of shadow,0.786
Nightmare Lullaby,magic-of-faerun,Magic of Faerun,nightmare,0.692
Nybor's Gentle Reminder,magic-of-faerun,Magic of Faerun,gentle repose,0.556
Nybor's Mild Admonishment,magic-of-faerun,Magic of Faerun,banishment,0.571
Nybor's Stern Reproof,magic-of-faerun,Magic of Faerun,bear's endurance,0.486
Nybor's Wrathful Castigation,magic-of-faerun,Magic of Faerun,mage's faithful hound,0.49
One With the Land,magic-of-faerun,Magic of Faerun,lay of the land,0.625
Owl's Insight,magic-of-faerun,Magic of Faerun,owl's wisdom,0.64
Prismatic Eye,magic-of-faerun,Magic of Faerun,prismatic ray,0.846
Puppeteer,magic-of-faerun,Magic of Faerun,oozepuppet,0.632
Quillfire,magic-of-faerun,Magic of Faerun,wall of fire,0.571
Ram's Might,magic-of-faerun,Magic of Faerun,city's might,0.696
Remedy Moderate Wounds,magic-of-faerun,Magic of Faerun,cure moderate wounds,0.857
Reveille,magic-of-faerun,Magic of Faerun,veil,0.667
Reverse Arrows,magic-of-faerun,Magic of Faerun,reverse gravity,0.621
Righteous Fury,magic-of-faerun,Magic of Faerun,righteous glare,0.759
Rosemantle,magic-of-faerun,Magic of Faerun,sunmantle,0.737
Safe Clearing,magic-of-faerun,Magic of Faerun,scale weakening,0.643
Scintillating Sphere,magic-of-faerun,Magic of Faerun,scintillating pattern,0.829
Seek Eternal Rest,magic-of-faerun,Magic of Faerun,elemental burst,0.625
Shadow Hand,magic-of-faerun,Magic of Faerun,shadow landscape,0.741
Shadow Well,magic-of-faerun,Magic of Faerun,shadow walk,0.818
Share Husk,magic-of-faerun,Magic of Faerun,shades,0.625
Shatterfloor,magic-of-faerun,Magic of Faerun,shatter,0.737
Shelgarn's Persistent Blade,magic-of-faerun,Magic of Faerun,persistent image,0.605
Shroud of Undeath,magic-of-faerun,Magic of Faerun,symbol of death,0.688
Silent Portal,magic-of-faerun,Magic of Faerun,seal portal,0.75
Silverbeard,magic-of-faerun,Magic of Faerun,silvered claws,0.64
Simbul's Skeletal Deliquescence,magic-of-faerun,Magic of Faerun,celestial brilliance,0.471
Simbul's Spell Matrix,magic-of-faerun,Magic of Faerun,imbue with spell ability,0.578
Simbul's Spell Sequencer,magic-of-faerun,Magic of Faerun,lower spell resistance,0.522
Simbul's Spell Trigger,magic-of-faerun,Magic of Faerun,spell turning,0.571
Simbul's Synostodweomer,magic-of-faerun,Magic of Faerun,analyze dweomer,0.474
Skeletal Guard,magic-of-faerun,Magic of Faerun,elemental ward,0.714
Skull of Secrets,magic-of-faerun,Magic of Faerun,symbol of sleep,0.581
Smell of Fear,magic-of-faerun,Magic of Faerun,symbol of fear,0.815
Snakebite,magic-of-faerun,Magic of Faerun,backbiter,0.667
Songbird,magic-of-faerun,Magic of Faerun,wingbind,0.625
Spectral Stag,magic-of-faerun,Magic of Faerun,spectral hand,0.769
Speed Swim,magic-of-faerun,Magic of Faerun,inspired aim,0.636
Spell Engine,magic-of-faerun,Magic of Faerun,spell resistance,0.643
Spell Enhancer,magic-of-faerun,Magic of Faerun,spell resistance,0.733
Spell Phylactery,magic-of-faerun,Magic of Faerun,spell vulnerability,0.571
Spell Shield,magic-of-faerun,Magic of Faerun,fire shield,0.696
Spellmantle,magic-of-faerun,Magic of Faerun,sunmantle,0.7
Spider Poison,magic-of-faerun,Magic of Faerun,delay poison,0.72
Spirit Worm,magic-of-faerun,Magic of Faerun,spiritual weapon,0.667
Stalking Brand,magic-of-faerun,Magic of Faerun,stunning breath,0.621
Steeldance,magic-of-faerun,Magic of Faerun,revenance,0.632
Stone Bones,magic-of-faerun,Magic of Faerun,stone to flesh,0.72
Stone Shatter,magic-of-faerun,Magic of Faerun,stone shape,0.833
Stone Walk,magic-of-faerun,Magic of Faerun,stone tell,0.7
Stonehold,magic-of-faerun,Magic of Faerun,stone tell,0.632
Strategic Charge,magic-of-faerun,Magic of Faerun,shapechange,0.593
Strength of Stone,magic-of-faerun,Magic of Faerun,eye of stone,0.69
Suppress Glyph,magic-of-faerun,Magic of Faerun,ghoul glyph,0.56
Surefoot,magic-of-faerun,Magic of Faerun,sharptooth,0.556
Symbol,magic-of-faerun,Magic of Faerun,symbol of fear,0.6
Tirumael's Energy Spheres,magic-of-faerun,Magic of Faerun,defenestrating sphere,0.565
Towering Oak,magic-of-faerun,Magic of Faerun,withering palm,0.615
Transcribe Symbol,magic-of-faerun,Magic of Faerun,trap the soul,0.533
Translocation Trick,magic-of-faerun,Magic of Faerun,transformation,0.667
Undead Lieutenant,magic-of-faerun,Magic of Faerun,undetectable alignment,0.564
Undead Torch,magic-of-faerun,Magic of Faerun,undeath to death,0.643
Undeath After Death,magic-of-faerun,Magic of Faerun,undeath to death,0.857
Undeath's Eternal Foe,magic-of-faerun,Magic of Faerun,death throes,0.606
Understand Device,magic-of-faerun,Magic of Faerun,manifest desire,0.562
Vine Mine,magic-of-faerun,Magic of Faerun,vine strike,0.7
Vipergout,magic-of-faerun,Magic of Faerun,vigor,0.571
Vision of Glory,magic-of-faerun,Magic of Faerun,crown of glory,0.759
Wall of Chaos,magic-of-faerun,Magic of Faerun,wall of thorns,0.815
Wall of Evil,magic-of-faerun,Magic of Faerun,wall of ice,0.783
Wall of Good,magic-of-faerun,Magic of Faerun,wall of gloom,0.88
Wall of Law,magic-of-faerun,Magic of Faerun,mantle of law,0.75
War Cry,magic-of-faerun,Magic of Faerun,warcry,0.923
Warning Shout,magic-of-faerun,Magic of Faerun,exacting shot,0.692
Weapon of Impact,magic-of-faerun,Magic of Faerun,weapon of the deity,0.686
Wieldskill,magic-of-faerun,Magic of Faerun,cloudkill,0.632
Wind At Back,magic-of-faerun,Magic of Faerun,wind walk,0.667
Wind Tunnel,magic-of-faerun,Magic of Faerun,winged mount,0.609
Wounding Whispers,magic-of-faerun,Magic of Faerun,maddening whispers,0.743
Zajimarn's Avalanche,magic-of-faerun,Magic of Faerun,obedient avalanche,0.632
Zajimarn's Field of Icy Razors,magic-of-faerun,Magic of Faerun,mantle of chaos,0.533
Zajimarn's Ice Claw Prison,magic-of-faerun,Magic of Faerun,mage's magnificent mansion,0.5
Adept Spirit,magic-of-incarnum,Magic of Incarnum,apparition,0.545
"Adept Spirit, Mass",magic-of-incarnum,Magic of Incarnum,"death ward, mass",0.647
Animal Spirit,magic-of-incarnum,Magic of Incarnum,animal growth,0.692
"Animal Spirit, Mass",magic-of-incarnum,Magic of Incarnum,animal shapes,0.625
Channel the Mishtai,magic-of-incarnum,Magic of Incarnum,channel celestial,0.611
"Channel the Mishtai, Greater",magic-of-incarnum,Magic of Incarnum,"arcane sight, greater",0.694
Conjure Greater Midnight Construct,magic-of-incarnum,Magic of Incarnum,commune with greater spirit,0.525
Conjure Lesser Midnight Construct,magic-of-incarnum,Magic of Incarnum,cure light wounds,0.56
Conjure Midnight Construct,magic-of-incarnum,Magic of Incarnum,cure light wounds,0.605
Detect Incarnum,magic-of-incarnum,Magic of Incarnum,detect chaos,0.667
Divest Essentia,magic-of-incarnum,Magic of Incarnum,magic vestment,0.552
Essentia Lock,magic-of-incarnum,Magic of Incarnum,dimensional lock,0.621
Guardian Spirit,magic-of-incarnum,Magic of Incarnum,arcane sight,0.593
"Guardian Spirit, Mass",magic-of-incarnum,Magic of Incarnum,"invisibility, mass",0.615
Incarnum Apotheosis,magic-of-incarnum,Magic of Incarnum,reincarnate,0.6
Incarnum Arc,magic-of-incarnum,Magic of Incarnum,instant search,0.615
Incarnum Bladestorm,magic-of-incarnum,Magic of Incarnum,blade storm,0.667
Incarnum Vigor,magic-of-incarnum,Magic of Incarnum,magic armor,0.56
Incarnum Weapon,magic-of-incarnum,Magic of Incarnum,align weapon,0.667
Open Greater Chakra,magic-of-incarnum,Magic of Incarnum,"command, greater",0.571
Open Least Chakra,magic-of-incarnum,Magic of Incarnum,move earth,0.519
Open Lesser Chakra,magic-of-incarnum,Magic of Incarnum,"geas, lesser",0.533
Protection from Incarnum,magic-of-incarnum,Magic of Incarnum,protection from charm,0.889
Rend Essentia,magic-of-incarnum,Magic of Incarnum,refreshment,0.583
Soul Blight,magic-of-incarnum,Magic of Incarnum,ghoul light,0.818
Soul Boon,magic-of-incarnum,Magic of Incarnum,soul bind,0.778
Soulbanned Zone,magic-of-incarnum,Magic of Incarnum,soul bind,0.583
Soulbleed,magic-of-incarnum,Magic of Incarnum,soul bind,0.667
Soulmeld Blessing,magic-of-incarnum,Magic of Incarnum,soul bind,0.615
Soulmeld Disjunction,magic-of-incarnum,Magic of Incarnum,mage's disjunction,0.684
Suppress Magic,magic-of-incarnum,Magic of Incarnum,dispel magic,0.692
Unbind Chakra,magic-of-incarnum,Magic of Incarnum,unbinding,0.545
Unshape Soulmeld,magic-of-incarnum,Magic of Incarnum,trap the soul,0.552
Valiant Spirit,magic-of-incarnum,Magic of Incarnum,valiant steed,0.741
"Valiant Spirit, Mass",magic-of-incarnum,Magic of Incarnum,valiant steed,0.606
Wall of Incarnum,magic-of-incarnum,Magic of Incarnum,wall of ice,0.741
Wrathful Doom,magic-of-incarnum,Magic of Incarnum,wail of doom,0.64
Chamber,manual-of-the-planes,Manual of the Planes,shambler,0.8
Dream Travel,manual-of-the-planes,Manual of the Planes,dream walk,0.727
Elemental Body,manual-of-the-planes,Manual of the Planes,elemental ward,0.786
Ether Blast,manual-of-the-planes,Manual of the Planes,hellrime blast,0.72
Ethereal Mount,manual-of-the-planes,Manual of the Planes,ethereal jaunt,0.857
Improved Alarm,manual-of-the-planes,Manual of the Planes,imperious glare,0.621
Interplanar Message,manual-of-the-planes,Manual of the Planes,planar exchange,0.647
Make Manifest,manual-of-the-planes,Manual of the Planes,manifest desire,0.571
"Manifest, Mass",manual-of-the-planes,Manual of the Planes,manifest desire,0.69
Mirror Walking,manual-of-the-planes,Manual of the Planes,mirror image,0.692
Portal Alarm,manual-of-the-planes,Manual of the Planes,continual flame,0.593
